x,y,z,dig_type
0,1,0,default
1,1,0,default
3,1,0,default
4,1,0,default
6,1,0,default
7,1,0,default
9,1,0,default
10,1,0,default
12,1,0,default
13,1,0,default
0,2,0,default
1,2,0,default
3,2,0,default
4,2,0,default
6,2,0,default
7,2,0,default
9,2,0,default
10,2,0,default
12,2,0,default
13,2,0,default
0,3,0,default
1,3,0,default
3,3,0,default
4,3,0,default
6,3,0,default
7,3,0,default
9,3,0,default
10,3,0,default
12,3,0,default
13,3,0,default
1,4,0,default
4,4,0,default
7,4,0,default
10,4,0,default
13,4,0,default
0,5,0,default
1,5,0,default
2,5,0,default
3,5,0,default
4,5,0,default
5,5,0,default
6,5,0,default
7,5,0,default
8,5,0,default
9,5,0,default
10,5,0,default
11,5,0,default
12,5,0,default
13,5,0,default
0,6,0,default
1,6,0,default
2,6,0,default
3,6,0,default
4,6,0,default
5,6,0,default
6,6,0,default
7,6,0,default
8,6,0,default
9,6,0,default
10,6,0,default
11,6,0,default
12,6,0,default
13,6,0,default
0,7,0,default
1,7,0,default
2,7,0,default
3,7,0,default
4,7,0,default
5,7,0,default
6,7,0,default
7,7,0,default
8,7,0,default
9,7,0,default
10,7,0,default
11,7,0,default
12,7,0,default
13,7,0,default
1,8,0,default
4,8,0,default
7,8,0,default
10,8,0,default
13,8,0,default
0,9,0,default
1,9,0,default
3,9,0,default
4,9,0,default
6,9,0,default
7,9,0,default
9,9,0,default
10,9,0,default
12,9,0,default
13,9,0,default
0,10,0,default
1,10,0,default
3,10,0,default
4,10,0,default
6,10,0,default
7,10,0,default
9,10,0,default
10,10,0,default
12,10,0,default
13,10,0,default
0,11,0,default
1,11,0,default
3,11,0,default
4,11,0,default
6,11,0,default
7,11,0,default
9,11,0,default
10,11,0,default
12,11,0,default
13,11,0,default
