x,y,z,dig_type
0,0,0,default
1,0,0,default
2,0,0,default
0,1,0,default
1,1,0,default
2,1,0,default
0,2,0,default
1,2,0,default
2,2,0,default
4,0,0,default
5,0,0,default
6,0,0,default
4,1,0,default
5,1,0,default
6,1,0,default
4,2,0,default
5,2,0,default
6,2,0,default
8,0,0,default
9,0,0,default
10,0,0,default
8,1,0,default
9,1,0,default
10,1,0,default
8,2,0,default
9,2,0,default
10,2,0,default
0,4,0,default
1,4,0,default
2,4,0,default
0,5,0,default
1,5,0,default
2,5,0,default
0,6,0,default
1,6,0,default
2,6,0,default
4,4,0,default
5,4,0,default
6,4,0,default
4,5,0,default
5,5,0,default
6,5,0,default
4,6,0,default
5,6,0,default
6,6,0,default
8,4,0,default
9,4,0,default
10,4,0,default
8,5,0,default
9,5,0,default
10,5,0,default
8,6,0,default
9,6,0,default
10,6,0,default
12,4,0,default
13,4,0,default
14,4,0,default
15,4,0,default
16,4,0,default
17,4,0,default
12,5,0,default
13,5,0,default
14,5,0,default
15,5,0,default
16,5,0,default
17,5,0,default
12,6,0,default
13,6,0,default
14,6,0,default
15,6,0,default
16,6,0,default
17,6,0,default
12,7,0,default
13,7,0,default
14,7,0,default
15,7,0,default
16,7,0,default
17,7,0,default
12,8,0,default
13,8,0,default
14,8,0,default
15,8,0,default
16,8,0,default
17,8,0,default
12,9,0,default
13,9,0,default
14,9,0,default
15,9,0,default
16,9,0,default
17,9,0,default
