x,y,z,dig_type
0,0,0,default
1,0,0,default
2,0,0,default
3,0,0,default
4,0,0,default
5,0,0,default
6,0,0,default
7,0,0,default
8,0,0,default
9,0,0,default
0,1,0,default
9,1,0,default
0,2,0,default
9,2,0,default
0,3,0,default
9,3,0,default
0,4,0,default
9,4,0,default
0,5,0,default
9,5,0,default
0,6,0,default
9,6,0,default
0,7,0,default
9,7,0,default
0,8,0,default
9,8,0,default
0,9,0,default
1,9,0,default
2,9,0,default
3,9,0,default
4,9,0,default
5,9,0,default
6,9,0,default
7,9,0,default
8,9,0,default
9,9,0,default
7,7,0,stairs
8,7,0,stairs
7,8,0,stairs
8,8,0,stairs
